label,area,perimeter,eccentricity,solidity,equivalent_diameter,centroid-0,centroid-1,intensity_min,intensity_mean,intensity_max
88,22.0,14.828427124746192,0.6106658672991558,1.0,5.292567428401227,99.22727272727273,1.7727272727272727,0.745148777961731,0.9189165234565735,1.0
89,54.0,38.656854249492376,0.9862526316146428,0.8709677419354839,8.291859587312052,99.64814814814815,306.4074074074074,0.589601457118988,0.8469032049179077,1.0
90,353.0,77.11269837220809,0.7771015684689104,0.926509186351706,21.200319792199185,92.75070821529745,363.24929178470256,0.6472001671791077,0.8964200615882874,0.9992607831954956
91,54.0,38.656854249492376,0.9862526316146428,0.8709677419354839,8.291859587312052,97.35185185185185,309.5925925925926,0.5894781947135925,0.8262158632278442,1.0
92,908.0,147.2903679018718,0.7760424188320537,0.7773972602739726,34.00149271163735,96.40198237885463,226.034140969163,0.5974249839782715,0.9019532203674316,0.9997535943984985
93,370.0,77.94112549695429,0.7093052871699858,0.9226932668329177,21.70480664627101,108.04324324324324,360.3081081081081,0.7137312889099121,0.9140313267707825,0.9996919631958008
94,448.0,91.90559159102153,0.5857938165448943,0.8631984585741811,23.883285285767386,103.89508928571429,320.42410714285717,0.5948992967605591,0.8802083730697632,1.0
95,114.0,41.31370849898476,0.7669408051765779,0.9344262295081968,12.047792665040703,100.48245614035088,394.6140350877193,0.6831762194633484,0.8763116002082825,0.9978439211845398
96,36.0,23.31370849898476,0.9217505411717294,0.9,6.770275002573076,102.5,150.5,0.6688843965530396,0.7999051809310913,0.9435717463493347
97,527.0,104.87005768508881,0.8574654018382734,0.8696369636963697,25.903614421069328,99.88614800759014,406.7628083491461,0.5754327774047852,0.8200758695602417,0.9988295435905457
98,739.0,122.56854249492379,0.27631986362175087,0.8312710911136107,30.67448489476694,102.6468200270636,166.72259810554803,0.5942832231521606,0.8448605537414551,1.0
99,33.0,30.82842712474619,0.9925330123511656,0.8461538461538461,6.4820448144285745,107.0,18.0,0.6991313695907593,0.9312343597412109,1.0
100,176.0,55.79898987322333,0.8521432545333306,0.8756218905472637,14.96964127403822,111.2215909090909,150.3693181818182,0.5418591499328613,0.8108335733413696,0.9983367323875427
101,25.0,22.82842712474619,0.9866623538245601,0.8333333333333334,5.641895835477563,108.96,177.92,0.7708371877670288,0.8549178242683411,0.9918684363365173
102,2292.0,242.99494936611663,0.7422957056380851,0.7889845094664372,54.02096848940227,101.8804537521815,71.22862129144852,0.5639129877090454,0.8932297229766846,1.0
